trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,fixation.stopped,circle1.started,circle2.started,circle3.started,circle4.started,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
51,1,h,learn,2,10,10,0,f,0,1.608782000024803,None,0,10,10,50,22.42268660000991,,,,,,,,,22.40886229998432,22.42268660000991,22.506193900015205,23.422814000048675,23.406098200008273,23.406098200008273,23.406098200008273,23.406098200008273,24.123493500053883,0,f,0,1.608782000024803,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
45,1,f,learn,2,11,11,0,f,1,1.609196300036274,None,0,11,11,44,24.139359800028615,,,,,,,,,24.12533589999657,24.139359800028615,24.239315600018017,25.138919100048952,25.138919100048952,25.138919100048952,25.138919100048952,25.138919100048952,25.855884300079197,1,f,1,1.609196300036274,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
40,1,j,learn,1,12,12,0,f,0,1.5473234000382945,None,0,12,12,39,25.871880799997598,,,,,,,,,25.85671750002075,25.871880799997598,25.955275000073016,26.87193320004735,26.855130900046788,26.855130900046788,26.855130900046788,26.855130900046788,27.505533699993975,0,f,0,1.5473234000382945,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
64,2,j,learn,2,13,13,0,g,0,1.6124607999809086,None,0,13,13,63,27.52176670008339,,,,,,,,,27.507061399985105,27.52176670008339,27.60501430009026,28.52160980005283,28.50473350007087,28.50473350007087,28.50473350007087,28.50473350007087,29.222033800091594,0,g,0,1.6124607999809086,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
49,4,f,learn,2,14,14,0,j,0,1.8535662000067532,None,0,14,14,48,29.238209400093183,,,,,,,,,29.223458499996923,29.238209400093183,29.321496800053865,30.238234600052238,30.22151830000803,30.22151830000803,30.22151830000803,30.22151830000803,31.188330400036648,0,j,0,1.8535662000067532,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
19,1,h,learn,1,15,15,0,f,0,1.7978338999673724,None,0,15,15,18,31.204498999984935,,,,,,,,,31.188999900012277,31.204498999984935,31.287796600023285,32.20481050002854,32.18826710002031,32.18826710002031,32.18826710002031,32.18826710002031,33.08847800001968,0,f,0,1.7978338999673724,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
28,2,j,learn,1,16,16,0,g,0,1.5162021999713033,None,0,16,16,27,33.10444890009239,,,,,,,,,33.09017970005516,33.10444890009239,33.18781000003219,34.104558199993335,34.087567900074646,34.087567900074646,34.087567900074646,34.087567900074646,34.72163550008554,0,g,0,1.5162021999713033,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
55,2,h,learn,2,17,17,0,g,0,1.7617696999805048,None,0,17,17,54,34.73763170000166,,,,,,,,,34.72334230004344,34.73763170000166,34.82085640006699,35.73729750001803,35.7208082000725,35.7208082000725,35.7208082000725,35.7208082000725,36.588264300022274,0,g,0,1.7617696999805048,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
26,4,g,learn,1,18,18,0,j,0,2.3435124999377877,None,0,18,18,25,36.60391060006805,,,,,,,,,36.59007620008197,36.60391060006805,36.70373150007799,37.60404440003913,37.60404440003913,37.60404440003913,37.60404440003913,37.60404440003913,39.05410760000814,0,j,0,2.3435124999377877,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
27,3,h,learn,1,19,19,0,h,1,1.3491769999964163,None,0,19,19,26,39.06994890002534,,,,,,,,,39.05586439999752,39.06994890002534,39.153596900054254,40.07020730001386,40.05365700006951,40.05365700006951,40.05365700006951,40.05365700006951,40.50385019998066,1,h,1,1.3491769999964163,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
16,4,j,learn,1,20,20,0,j,1,1.6980416000587866,None,0,20,20,15,40.519744600052945,,,,,,,,,40.504392500035465,40.519744600052945,40.6031652999809,41.5199874000391,41.50333330000285,41.50333330000285,41.50333330000285,41.50333330000285,42.303670300054364,1,j,1,1.6980416000587866,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
36,3,j,learn,1,21,21,0,h,0,1.674024899955839,None,0,21,21,35,42.31925340008456,,,,,,,,,42.305491500068456,42.31925340008456,42.40309030003846,43.31960160005838,43.30303930002265,43.30303930002265,43.30303930002265,43.30303930002265,44.08700529998168,0,h,0,1.674024899955839,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
73,4,f,learn,2,22,22,0,g,0,1.5430999000091106,None,0,22,22,72,44.10279590007849,,,,,,,,,44.088764999993145,44.10279590007849,44.18610920000356,45.102902900078334,45.102902900078334,45.102902900078334,45.102902900078334,45.102902900078334,45.73679390002508,0,g,0,1.5430999000091106,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
12,4,j,learn,1,23,23,0,j,1,1.8262425999855623,None,0,23,23,11,45.752511300030164,,,,,,,,,45.73847099998966,45.752511300030164,45.83598760003224,46.752593200071715,46.752593200071715,46.752593200071715,46.752593200071715,46.752593200071715,47.669037600047886,1,j,1,1.8262425999855623,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
10,1,g,learn,1,24,24,0,f,0,2.67393789999187,None,0,24,24,9,47.68536640005186,,,,,,,,,47.66955350001808,47.68536640005186,47.7688358000014,48.68573740008287,48.66896869998891,48.66896869998891,48.66896869998891,48.66896869998891,50.45253670006059,0,f,0,2.67393789999187,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
53,2,f,learn,2,25,25,0,g,0,1.5716705999802798,None,0,25,25,52,50.46852100000251,,,,,,,,,50.4541576000629,50.46852100000251,50.551583599997684,51.46847180009354,51.451918600010686,51.451918600010686,51.451918600010686,51.451918600010686,52.13582970004063,0,g,0,1.5716705999802798,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
35,1,h,learn,1,26,26,0,f,0,1.647739400039427,None,0,26,26,34,52.151476800092496,,,,,,,,,52.13737660006154,52.151476800092496,52.251380900037475,53.15143219998572,53.15143219998572,53.15143219998572,53.15143219998572,53.15143219998572,53.90180480002891,0,f,0,1.647739400039427,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
71,1,h,learn,2,27,27,0,f,0,1.3930041999556124,None,0,27,27,70,53.9178870000178,,,,,,,,,53.90351840003859,53.9178870000178,54.00108000007458,54.91794220008887,54.901345500024036,54.901345500024036,54.901345500024036,54.901345500024036,55.40093030000571,0,f,0,1.3930041999556124,None,,,,participant1,001,2025-11-19_13h55.49.048,Solo Project,,2025.1.1,60.01215845807546,2025-11-19 13h56.05.465379 +0530,
