trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,end_key.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.0014564000302925706,0.0037597999908030033,0.0037597999908030033,56.10309450002387,space,56.00106100004632,None,,,,,,,,,,,,,,,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
29,2,f,learn,1,0,0,0,g,0,2.2183182999724522,None,0,0,0,28,56.12233250006102,,,,,,,,,56.11955060006585,56.12233250006102,56.21388530009426,57.11397070006933,57.11397070006933,57.11397070006933,57.11397070006933,57.13056270009838,58.44772480009124,0,g,0,2.2183182999724522,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
77,1,f,learn,2,1,1,0,f,1,1.5515393000096083,None,0,1,1,76,58.46346840006299,,,,,,,,,58.449561599991284,58.46346840006299,58.563165300060064,59.463618400041014,59.463618400041014,59.463618400041014,59.463618400041014,59.463618400041014,60.13090720004402,1,f,1,1.5515393000096083,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
35,1,h,learn,1,2,2,0,f,0,1.5111325000179932,None,0,2,2,34,60.146589200012386,,,,,,,,,60.13274440006353,60.146589200012386,60.246343600098044,61.14667010004632,61.14667010004632,61.14667010004632,61.14667010004632,61.14667010004632,61.764092500088736,0,f,0,1.5111325000179932,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
15,4,h,learn,1,3,3,0,j,0,1.4300503000849858,None,0,3,3,14,61.77954560006037,,,,,,,,,61.765911400085315,61.77954560006037,61.87946580001153,62.77966960007325,62.77966960007325,62.77966960007325,62.77966960007325,62.77966960007325,63.313843299984,0,j,0,1.4300503000849858,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
4,3,j,learn,1,4,4,0,h,0,1.4420330000575632,None,0,4,4,3,63.3293224000372,,,,,,,,,63.315724799991585,63.3293224000372,63.42935570003465,64.32934010005556,64.32934010005556,64.32934010005556,64.32934010005556,64.32934010005556,64.88015440001618,0,h,0,1.4420330000575632,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
12,4,j,learn,1,5,5,0,j,1,1.4326732999179512,None,0,5,5,11,64.89572680008132,,,,,,,,,64.88196969998535,64.89572680008132,64.99560850008857,65.89584260003176,65.89584260003176,65.89584260003176,65.89584260003176,65.89584260003176,66.42940520006232,1,j,1,1.4326732999179512,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
60,1,j,learn,2,6,6,0,f,0,1.3347189000342041,None,0,6,6,59,66.44541759998538,,,,,,,,,66.43121730000712,66.44541759998538,66.52854329999536,67.42898389999755,67.42898389999755,67.42898389999755,67.42898389999755,67.44560400000773,67.87961490009911,0,f,0,1.3347189000342041,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
67,3,h,learn,2,7,7,0,h,1,1.5560133999679238,None,0,7,7,66,67.89540690009017,,,,,,,,,67.88143180008046,67.89540690009017,67.99487080005929,68.89548509998713,68.89548509998713,68.89548509998713,68.89548509998713,68.89548509998713,69.56290100002661,1,h,1,1.5560133999679238,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
16,4,j,learn,1,8,8,0,j,1,1.3485418000491336,None,0,8,8,15,69.57834890007507,,,,,,,,,69.56466280005407,69.57834890007507,69.67831620003562,70.57843390002381,70.57843390002381,70.57843390002381,70.57843390002381,70.57843390002381,71.02881950000301,1,j,1,1.3485418000491336,None,,,,,participan5,001,2025-11-19_16h17.14.696,Solo Project,,2025.1.1,59.948624000934004,2025-11-19 16h17.29.078195 +0530,
