reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
159,257,289,0,0,0,l,3.339897199999541,None,0,0,0,78,0.11064229998737574,,0.1081262999214232,0.11064229998737574,1.0113494999241084,1.0113494999241084,1.1113275000825524,4.370005799923092,l,3.339897199999541,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
64,83,111,1,1,0,l,1.4214703999459743,None,0,1,1,29,4.383322200039402,,4.38036959990859,4.383322200039402,5.377589999930933,5.377589999930933,5.394240899942815,6.810986900003627,l,1.4214703999459743,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
37,51,57,2,2,0,t,1.1099767999257892,None,0,2,2,15,6.827313299989328,,6.816657799994573,6.827313299989328,7.810559999896213,7.810559999896213,7.8270936999469995,8.927625899901614,t,1.1099767999257892,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
84,117,149,3,3,0,t,0.6325176001992077,None,0,3,3,39,8.943645499879494,,8.933578599942848,8.943645499879494,9.926778899971396,9.926778899971396,9.943059500074014,10.56048300000839,t,0.6325176001992077,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
10,16,7,4,4,0,l,1.5984581001102924,None,0,4,4,1,10.576689400011674,,10.568998199887574,10.576689400011674,11.56004839995876,11.56004839995876,11.576730800094083,13.160241300007328,l,1.5984581001102924,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
161,207,290,5,5,0,l,0.9388727999757975,None,0,5,5,79,13.176273199962452,,13.165870199911296,13.176273199962452,14.159122300101444,14.159122300101444,14.176117999944836,15.110014900099486,l,0.9388727999757975,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
153,192,277,6,6,0,t,0.9637825000099838,None,0,6,6,75,15.12581679993309,,15.115584200015292,15.12581679993309,16.12589589995332,16.12589589995332,16.12589589995332,17.09329820005223,t,0.9637825000099838,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
66,100,113,7,7,0,t,0.6175850001163781,None,0,7,7,30,17.108957800082862,,17.09885729989037,17.108957800082862,18.108471299987286,18.108471299987286,18.108471299987286,18.742967899888754,t,0.6175850001163781,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
152,202,277,8,8,0,l,0.5351062000263482,None,0,8,8,74,18.75877459999174,,18.74837590008974,18.75877459999174,19.75870530004613,19.75870530004613,19.75870530004613,20.309309399919584,l,0.5351062000263482,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
122,194,219,9,9,0,l,0.5318224001675844,None,0,9,9,59,20.325117599917576,,20.315606199903414,20.325117599917576,21.308295599883422,21.308295599883422,21.325020999880508,21.842195600038394,l,0.5318224001675844,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
41,66,67,10,10,0,t,0.8490448000375181,None,0,10,10,17,21.858338200021535,,21.848130899947137,21.858338200021535,22.841486499877647,22.841486499877647,22.858264999929816,23.691662200028077,t,0.8490448000375181,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
33,58,52,11,11,0,t,0.7924573000054806,None,0,11,11,13,23.708121200092137,,23.697642700048164,23.708121200092137,24.691348199965432,24.691348199965432,24.70765129989013,25.491966400062665,t,0.7924573000054806,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
183,259,331,12,12,0,l,1.2478308000136167,None,0,12,12,90,25.507801899919286,,25.498191100079566,25.507801899919286,26.507749400101602,26.507749400101602,26.507749400101602,27.757370800012723,l,1.2478308000136167,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
184,251,334,13,13,0,l,1.2609917998779565,None,0,13,13,91,27.77370740007609,,27.76296059996821,27.77370740007609,28.757077099988237,28.757077099988237,28.77348480001092,30.023781799944118,l,1.2609917998779565,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
138,166,248,14,14,0,l,1.4943760999012738,None,0,14,14,67,30.040047799935564,,30.03020430007018,30.040047799935564,31.02294939989224,31.02294939989224,31.04003700008616,32.52325990004465,l,1.4943760999012738,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
86,122,152,15,15,0,l,1.2619406001176685,None,0,15,15,40,32.53964999993332,,32.527456500101835,32.53964999993332,33.52276910003275,33.52276910003275,33.53940819995478,34.78993620001711,l,1.2619406001176685,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
190,299,345,16,16,0,t,2.173536199843511,None,0,16,16,94,34.80601800000295,,34.79594020009972,34.80601800000295,35.80583789991215,35.80583789991215,35.80583789991215,37.9895031999331,t,2.173536199843511,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
89,101,160,17,17,0,l,1.849709999980405,None,0,17,17,42,38.00546999997459,,37.992493599886075,38.00546999997459,38.98890039999969,38.98890039999969,39.005763499997556,40.8397729001008,l,1.849709999980405,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
105,143,187,18,18,0,t,2.3732082000933588,None,0,18,18,50,40.855314099928364,,40.84531749994494,40.855314099928364,41.85526859993115,41.85526859993115,41.85526859993115,44.23889690008946,t,2.3732082000933588,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
45,71,73,19,19,0,l,3.7492231000214815,None,0,19,19,19,44.254749099956825,,44.24571830010973,44.254749099956825,45.254535200074315,45.254535200074315,45.254535200074315,49.00540639995597,l,3.7492231000214815,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
171,275,313,20,20,0,t,1.9834221999626607,None,0,20,20,84,49.020443599903956,,49.01141709997319,49.020443599903956,50.020177100086585,50.020177100086585,50.020177100086585,52.004644700093195,t,1.9834221999626607,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
186,214,340,21,21,0,t,1.755860700039193,None,0,21,21,92,52.019967099884525,,52.011059399927035,52.019967099884525,53.01987689989619,53.01987689989619,53.01987689989619,54.787323399912566,t,1.755860700039193,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
142,194,259,22,22,0,t,1.6522526000626385,None,0,22,22,69,54.803210200043395,,54.79320210008882,54.803210200043395,55.80307359993458,55.80307359993458,55.80307359993458,57.470225899945945,t,1.6522526000626385,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
124,188,225,23,23,0,t,2.1996164000593126,None,0,23,23,60,57.486146700102836,,57.47708490001969,57.486146700102836,58.485976499971,58.485976499971,58.485976499971,60.68673330009915,t,2.1996164000593126,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
24,37,31,24,24,0,l,1.512283599935472,None,0,24,24,8,60.70225939992815,,60.69254960003309,60.70225939992815,61.70202760002576,61.70202760002576,61.70202760002576,63.21873699990101,l,1.512283599935472,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
117,187,206,25,25,0,l,2.1417127000167966,None,0,25,25,56,63.234745299909264,,63.22301930002868,63.234745299909264,64.21833389997482,64.21833389997482,64.23494410002604,66.36852420005016,l,2.1417127000167966,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
107,164,189,26,26,0,l,1.8310650999192148,None,0,26,26,51,66.38461420009844,,66.37419859995134,66.38461420009844,67.36786099988967,67.36786099988967,67.38444519997574,69.20162749988958,l,1.8310650999192148,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
113,143,198,27,27,0,t,0.8048016999382526,None,0,27,27,54,69.21749130007811,,69.208575299941,69.21749130007811,70.21725240000524,70.21725240000524,70.21725240000524,71.03484830004163,t,0.8048016999382526,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
68,98,114,28,28,0,t,4.100567000219598,None,0,28,28,31,71.05063339998014,,71.04070469993167,71.05063339998014,72.05055180005729,72.05055180005729,72.05055180005729,76.16709210001864,t,4.100567000219598,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
198,322,365,29,29,0,t,2.0276254999917,None,0,29,29,98,76.1831948000472,,76.17257219995372,76.1831948000472,77.16632570000365,77.16632570000365,77.18308170000091,79.20017790002748,t,2.0276254999917,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
101,164,176,30,30,0,l,1.8210085998289287,None,0,30,30,48,79.21609980007634,,79.20604000007734,79.21609980007634,80.2158313000109,80.2158313000109,80.2158313000109,82.04978500003926,l,1.8210085998289287,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
155,183,283,31,31,0,l,3.1687100001145154,None,0,31,31,76,82.06555039994419,,82.05655430001207,82.06555039994419,83.06532919988967,83.06532919988967,83.06532919988967,86.24911940004677,l,3.1687100001145154,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
31,37,46,32,32,0,l,3.5829519000835717,None,0,32,32,12,86.26496970001608,,86.25506859994493,86.26496970001608,87.26477569993585,87.26477569993585,87.26477569993585,90.84881490003318,l,3.5829519000835717,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
163,228,296,33,33,0,l,0.7843995001167059,None,0,33,33,80,90.86413030000404,,90.85544919990934,90.86413030000404,91.86377599998377,91.86377599998377,91.86377599998377,92.66472449991852,l,0.7843995001167059,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
99,136,175,34,34,0,t,1.0533945001661777,None,0,34,34,47,92.68057149997912,,92.67092139995657,92.68057149997912,93.68034459999762,93.68034459999762,93.68034459999762,94.74775610002689,t,1.0533945001661777,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
103,131,182,35,35,0,t,0.816306000109762,None,0,35,35,49,94.76367409992963,,94.75462869997136,94.76367409992963,95.74683990003541,95.74683990003541,95.76342749991454,96.56407269998454,t,0.816306000109762,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
14,20,17,36,36,0,l,0.60619099996984,None,0,36,36,3,96.5799237000756,,96.5700018000789,96.5799237000756,97.56315819988959,97.56315819988959,97.57977700000629,98.18059180001728,l,0.60619099996984,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
22,31,32,37,37,0,l,0.7683582999743521,None,0,37,37,7,98.19650770002045,,98.1870114998892,98.19650770002045,99.1960086999461,99.1960086999461,99.1960086999461,99.98016789997928,l,0.7683582999743521,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
128,202,228,38,38,0,t,0.6610597998369485,None,0,38,38,62,99.99602319998667,,99.98615460004658,99.99602319998667,100.99588739988394,100.99588739988394,100.99588739988394,101.66319269989617,t,0.6610597998369485,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
167,219,305,39,39,0,l,1.0946275000460446,None,0,39,39,82,101.67910979990847,,101.6706642000936,101.67910979990847,102.66235950007103,102.66235950007103,102.67905350006185,103.76246230001561,l,1.0946275000460446,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
35,56,55,40,40,0,l,0.8161991001106799,None,0,40,40,14,103.77868200000376,,103.76855290005915,103.77868200000376,104.76191750005819,104.76191750005819,104.77871860004961,105.57924770005047,l,0.8161991001106799,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
132,203,236,41,41,0,t,0.928886900190264,None,0,41,41,64,105.59536419995129,,105.58598600002006,105.59536419995129,106.57850040006451,106.57850040006451,106.59525149990804,107.5116471000947,t,0.928886900190264,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
109,136,197,42,42,0,t,0.7711919001303613,None,0,42,42,52,107.52792209992185,,107.51685589994304,107.52792209992185,108.51095740008168,108.51095740008168,108.52770660002716,109.29516629991122,t,0.7711919001303613,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
169,270,309,43,43,0,l,0.901170700090006,None,0,43,43,83,109.31098699988797,,109.30372829991393,109.31098699988797,110.31068930006586,110.31068930006586,110.31068930006586,111.22795150009915,l,0.901170700090006,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
53,64,88,44,44,0,l,1.0247800000943244,None,0,44,44,23,111.24410760006867,,111.2338741000276,111.24410760006867,112.22717859991826,112.22717859991826,112.24390350002795,113.26145099988207,l,1.0247800000943244,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
56,83,92,45,45,0,l,1.4548245000187308,None,0,45,45,25,113.27751610009,,113.26812719996087,113.27751610009,114.27724059997126,114.27724059997126,114.29383879993111,115.74451819993556,l,1.4548245000187308,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
78,118,133,46,46,0,t,1.7592581000644714,None,0,46,46,36,115.76010979991406,,115.75037740007974,115.76010979991406,116.75952269998379,116.75952269998379,116.75952269998379,118.52735029999167,t,1.7592581000644714,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
51,69,82,47,47,0,t,0.7446435000747442,None,0,47,47,22,118.54312280006707,,118.53448959998786,118.54312280006707,119.54304239992052,119.54304239992052,119.54304239992052,120.29348520003259,t,0.7446435000747442,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
175,243,318,48,48,0,t,1.5759330000728369,None,0,48,48,86,120.30951910000294,,120.29935680003837,120.30951910000294,121.29251040006056,121.29251040006056,121.30926920007914,122.87665760004893,t,1.5759330000728369,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
91,110,163,49,49,0,t,2.073154699988663,None,0,49,49,43,122.89254199992865,,122.88348659989424,122.89254199992865,123.89235930005088,123.89235930005088,123.89235930005088,125.97621520003304,t,2.073154699988663,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
55,88,92,50,50,0,l,0.29968050005845726,None,0,50,50,24,125.9921188999433,,125.98207399994135,125.9921188999433,126.99194530001841,126.99194530001841,126.99194530001841,127.30905629997142,l,0.29968050005845726,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
18,28,23,51,51,0,l,0.2627411000430584,None,0,51,51,5,127.32489069993608,,127.3159276000224,127.32489069993608,128.30785139999352,128.30785139999352,128.32483100006357,128.57551490003243,l,0.2627411000430584,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
140,174,252,52,52,0,t,0.599905899958685,None,0,52,52,68,128.59173960005865,,128.58128260006197,128.59173960005865,129.5747450001072,129.5747450001072,129.59148439997807,130.19210630003363,t,0.599905899958685,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
93,109,163,53,53,0,t,0.3728649001568556,None,0,53,53,44,130.207943999907,,130.198320500087,130.207943999907,131.19125739997253,131.19125739997253,131.20755510008894,131.57512379996479,t,0.3728649001568556,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
194,234,355,54,54,0,l,0.6239012000150979,None,0,54,54,96,131.5912212000694,,131.58099150005728,131.5912212000694,132.57410870003514,132.57410870003514,132.5911723000463,133.20829389989376,l,0.6239012000150979,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
29,46,43,55,55,0,l,0.8048382999841124,None,0,55,55,11,133.2242737999186,,133.21485879993998,133.2242737999186,134.2075006000232,134.2075006000232,134.22382729989477,135.0248042999301,l,0.8048382999841124,None,899219,001,2025-11-03_08h44.58.830,Tutorial 6,,2025.1.1,59.987750477913615,2025-11-03 08h45.08.595333 +0530,
