trials,lightbox,correctkey,trialtype,block,thisN,thisTrialN,thisRepN,resp.keys,resp.corr,resp.rt,resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,trial.started,fixation.started,resp.started,circle1.started,circle2.started,circle3.started,circle4.started,fixation.stopped,trial.stopped,accuracy,trials.resp.keys,trials.resp.corr,trials.resp.rt,trials.resp.duration,thanks.started,thank.started,end_key.started,end_key.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.001282599987462163,0.0032973000197671354,0.0032973000197671354,11.574877800012473,space,11.556929100013804,None,,,,,,,,,,,,,,,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
39,3,h,learn,1,0,0,0,h,1,2.2959637999883853,None,0,0,0,38,11.597861499991268,,,,,,,,,11.594308200001251,11.597861499991268,11.682880000036675,12.58274490002077,12.58274490002077,12.58274490002077,12.58274490002077,12.599857099994551,13.983568200026639,1,h,1,2.2959637999883853,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
53,2,f,learn,2,1,1,0,g,0,1.6333304999861866,None,0,1,1,52,13.999593299988192,,,,,,,,,13.985254600003827,13.999593299988192,14.099496299983002,14.9827101000119,14.9827101000119,14.9827101000119,14.9827101000119,14.999403499998152,15.750088800035883,0,g,0,1.6333304999861866,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
7,4,h,learn,1,2,2,0,j,0,1.5257251999573782,None,0,2,2,6,15.765849600022193,,,,,,,,,15.75294610002311,15.765849600022193,15.849232300010044,16.76570400001947,16.76570400001947,16.76570400001947,16.76570400001947,16.76570400001947,17.383004600007553,0,j,0,1.5257251999573782,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
46,1,g,learn,2,3,3,0,f,0,1.4740996999898925,None,0,3,3,45,17.39896930003306,,,,,,,,,17.3848254000186,17.39896930003306,17.498877200006973,18.398987799999304,18.398987799999304,18.398987799999304,18.398987799999304,18.398987799999304,18.98274130001664,0,f,0,1.4740996999898925,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
34,4,g,learn,1,4,4,0,j,0,1.3572567999945022,None,0,4,4,33,18.99875389999943,,,,,,,,,18.984565999999177,18.99875389999943,19.081859200028703,19.981698299990967,19.981698299990967,19.981698299990967,19.981698299990967,19.998092200024985,20.44936530000996,0,j,0,1.3572567999945022,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
79,1,h,learn,2,5,5,0,f,0,1.4135056000086479,None,0,5,5,78,20.46515790000558,,,,,,,,,20.451558500004467,20.46515790000558,20.565178700024262,21.46478300000308,21.46478300000308,21.46478300000308,21.46478300000308,21.46478300000308,21.982230700028595,0,f,0,1.4135056000086479,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
69,3,f,learn,2,6,6,0,h,0,1.952366899990011,None,0,6,6,68,21.998283500026446,,,,,,,,,21.98404790001223,21.998283500026446,22.09778940002434,22.981425800011493,22.981425800011493,22.981425800011493,22.981425800011493,22.998161300027277,24.065539100032765,0,h,0,1.952366899990011,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
22,3,g,learn,1,7,7,0,h,0,1.499803799961228,None,0,7,7,21,24.081155200023204,,,,,,,,,24.06740900001023,24.081155200023204,24.181056700006593,25.081109200022183,25.081109200022183,25.081109200022183,25.081109200022183,25.081109200022183,25.68192200001795,0,h,0,1.499803799961228,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
38,2,g,learn,1,8,8,0,g,1,1.6741838000016287,None,0,8,8,37,25.69770190003328,,,,,,,,,25.683996699983254,25.69770190003328,25.780971400032286,26.697571600030642,26.697571600030642,26.697571600030642,26.697571600030642,26.697571600030642,27.464633200026583,1,g,1,1.6741838000016287,None,,,,,participant4,001,2025-11-18_22h01.10.314,Solo Project,,2025.1.1,59.935329796068594,2025-11-18 22h01.49.288863 +0530,
