reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
60,73,100,0,0,0,t,3.293014399940148,None,0,0,0,27,0.11160149984061718,,0.10950579983182251,0.11160149984061718,1.0158873000182211,1.0158873000182211,1.1157306998502463,4.324152499902993,t,3.293014399940148,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
181,206,332,1,1,0,t,1.1658274999354035,None,0,1,1,89,4.336676399921998,,4.33417859999463,4.336676399921998,5.332279699854553,5.332279699854553,5.348507500020787,6.499233099864796,t,1.1658274999354035,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
24,37,31,2,2,0,l,1.5783104998990893,None,0,2,2,8,6.514810599852353,,6.507834600051865,6.514810599852353,7.514778499957174,7.514778499957174,7.514778499957174,9.098569100024179,l,1.5783104998990893,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
84,117,149,3,3,0,l,1.2911649998277426,None,0,3,3,39,9.114371499978006,,9.106879399856552,9.114371499978006,10.097609200049192,10.097609200049192,10.11445469991304,11.397993299877271,l,1.2911649998277426,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
136,176,243,4,4,0,t,2.033144799992442,None,0,4,4,66,11.414274099981412,,11.403146599885076,11.414274099981412,12.397278900025412,12.397278900025412,12.413550299825147,14.447739699855447,t,2.033144799992442,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
88,119,155,5,5,0,t,1.812201000051573,None,0,5,5,41,14.463229099987075,,14.456219600047916,14.463229099987075,15.446967700030655,15.446967700030655,15.463548899861053,17.26375239994377,t,1.812201000051573,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
58,78,99,6,6,0,l,0.5777973001822829,None,0,6,6,26,17.27968299994245,,17.2699253000319,17.27968299994245,18.279533599969,18.279533599969,18.279533599969,18.863853899994865,l,0.5777973001822829,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
68,98,114,7,7,0,l,0.8278916999697685,None,0,7,7,31,18.879731300054118,,18.869927699910477,18.879731300054118,19.86279679997824,19.86279679997824,19.879629999864846,20.696557099930942,l,0.8278916999697685,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
49,61,82,8,8,0,t,1.4005948998965323,None,0,8,8,21,20.712768299970776,,20.699178599985316,20.712768299970776,21.695866700029,21.695866700029,21.712544000009075,23.113036199938506,t,1.4005948998965323,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
56,83,92,9,9,0,l,1.7663902000058442,None,0,9,9,25,23.128953599836677,,23.11720780003816,23.128953599836677,24.11223049997352,24.11223049997352,24.128612299915403,25.895632999949157,l,1.7663902000058442,None,654506,001,2025-11-03_08h40.11.936,Tutorial 6,,2025.1.1,60.000456034877985,2025-11-03 08h40.20.802971 +0530,
